Region,Maker,Model,Model year,Supplier
China,Geely,Borui (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Boyue (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GL (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GL (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GL (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GL (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GL PHEV (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GS (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GS (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Emgrand GS (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,GX3 Pro (Vision X3 Pro) (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,GX3 Pro (Vision X3 Pro) (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Vision (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Vision (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Vision X6 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Vision X6 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Vision X6 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Tank 300 (4WD) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval H6S (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval H6S (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval H7 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,WEY Latte DHT (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval M6 PLUS (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,WEY Macchiato PHEV (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,WEY Mocca (4WD) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,WEY Mocca (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,POER (FR) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval Red Rabbit (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval Shenshou (4WD) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval Shenshou (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,Haval Shenshou (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Haima,6P PHEV (China),2021,"United Automotive Electronic Systems Co., Ltd."
Americas,Honda,CR-V (Canada),2021,"Hitachi Astemo Americas, Inc. (Formerly  Hitachi Automotive Systems Americas, Inc.)"
ASEAN?India?Korea,Hyundai,Avante (Korea),2021,Hyundai Kefico Corporation
Americas,Hyundai,Creta (Brazil),2021,BorgWarner Brasil Ltda.
ASEAN?India?Korea,Hyundai,Genesis G70 (Korea),2021,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Genesis G80 (Korea),2021,Motonic Corporation
ASEAN?India?Korea,Hyundai,Genesis G90 (Korea),2021,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Palisade (Korea),2021,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Santa Fe (Korea),2021,Hyundai Kefico Corporation
Europe,Hyundai,Solaris (Russia),2021,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Sonata (Korea),2021,Motonic Corporation
China,JAC Group,SOL E40X (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,JAC Group,SOL E40X (China),2021,"United Automotive Electronic Systems Co., Ltd."
Americas,Jeep,Grand Cherokee (USA),2021,Bosch (Robert Bosch LLC)
Americas,Jeep,Wrangler (USA),2021,Bosch (Robert Bosch LLC)
China,Kaiyi,X3 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
