?Region,?Maker,?Model,?Model year,?Supplier
China,Changan,CS95 PLUS (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X7 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X7 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
Europe,Citroen,C4 X (Spain),2023,"Nemak, S.A.B. de C.V."
Europe,Dodge,Hornet (Italy),2023,"Nemak, S.A.B. de C.V."
China,Geely,Borui (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Borui (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Boyue (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Boyue COOL (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue COOL (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Boyue L Hi¡PF (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue L Hi¡PF (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
