supplier_id,supplier_name,parent_company
229,"Chengdu Hongcheng Automotive Parts Manufacturing Co., Ltd.",
230,"Chengdu Huachuan Electric Parts Co., Ltd.",
231,"Chengdu Lingchuan Special Industries Co., Ltd.",
232,"Chengdu Mingran Intelligent Technology Co., Ltd.",
233,"Chengdu Ningjiang Showa Autoparts Co., Ltd.",
234,"Chengdu ThyssenKrupp Fawer Spring Co., Ltd.",
235,Chengdu Xiling Power Science & Technology Incorporated Company,
236,"Chengdu Yonghua F.C.C. Clutches Co., Ltd.",
237,"Chengdu Zhengheng Auto Parts Co., Ltd.",
238,"Chenzhi (Chongqing) Brake System Co.,Ltd. (Formerly CSG TRW Chassis Systems Co. Ltd.)",
239,Chery,
240,"Chian Hsing (Taicang) Metals Products Co., Ltd.",
241,"China Chang'an Automobile Group Co., Ltd. Chongqing Tsingshan Transmission Branch (Formerly China South Industries Motors Co., Ltd.)",
242,"China FCC Foshan Co., Ltd.",FCC
243,China Spring Corporation Limited,
244,"Chongqing Beite Technology Co., Ltd.",
245,Chongqing Changan,
246,"Chongqing Dajiang Jiexin Forging Co., Ltd.",
247,"Chongqing Hegui Environmental Science and Technology Co., Ltd.",
248,"Chongqing Hiter Automotive Exhaust Systems Co., Ltd.",
249,"Chongqing Huafu Industry Co., Ltd.",
250,"Chongqing Jinfeng Mechanical Co., Ltd.",
251,"Chongqing Landai Transmission Co., Ltd.",
252,Chongqing Qin'an Mechanical & Electrical Plc.,
253,"Chongqing Sejong Auto Parts Co., Ltd.",Sejong
254,"Chongqing Sokon Power Co., Ltd.",
255,"Chongqing Tsingshan Industrial Co., Ltd.",
256,"Chongqing Xiyuan Camshaft Co., Ltd.",
257,"Chongqing Youfin Auto Electronic Control System Co., Ltd.",Youfin
258,"Chongqing Yu'an Shock Absorber Co., Ltd.",
259,"Chongqing Zhimao Mechanical Manufacturing Co., Ltd.",
260,Chrysler,
261,"Chuhatsu (Thailand) Co., Ltd. (Formerly, Chuo Thai Cable Co., Ltd.)",Chuhatsu
262,"Chuo Spring Co., Ltd.",
263,Clear Motion Inc.,
264,Coavis Mexico S.A. de C.V.,
265,"Constellium Automotive USA, LLC",
266,ContiTech AG,
267,Continental AG,Continental
268,Continental Automotive - Vehicle Dynamics,Continental
269,Continental Automotive Benelux B.V.B.A,Continental
270,Continental Automotive Brake Systems India Pvt. Ltd.,Continental
271,Continental Automotive Corp,Continental
272,"Continental Automotive Maquila Mexico, S.A. de C.V. - Juarez 2",Continental
273,Continental Automotive Mexicana S.A. de C.V. - Las Colinas,Continental
274,"Continental Automotive Systems (Shanghai) Co., Ltd.",Continental
275,"Continental Automotive Systems US, Inc.",Continental
276,"Continental Automotive Systems, Inc. - Culpeper (Formerly Continental Teves, Inc.)",Continental
277,"Continental Automotive Systems, Inc. - Morganton (Formerly Continental Teves, Inc.)",Continental
278,Continental Automotive Technologies GmbH - Gifhorn (Formerly Continental Teves AG & Co. oHG),Continental
279,Continental Automotive Technologies GmbH - World HQ + Frankfurt Plant (Formerly Continental Teves AG & Co. oHG),Continental
280,"Continental Holding China Co., Ltd.",Continental
281,"Continental Huayu Brake Systems (Chongqing) Co., Ltd.",Continental
282,"Continental Temic Electronics (Phil), Inc.",Continental
283,Continental Teves UK Ltd,Continental
284,"Continental Tires (China) Co., Ltd.",Continental
285,Contitech Fluid Shanghai Co.�ALtd.,
286,Cooper-Standard Holdings Inc.,
287,"Corning (Shanghai) Co., Ltd.",
288,"Corporacion Mitsuba de Mexico, S.A. de C.V. - Silao Plant",
289,Crefact Corporation,
290,"D-ACT.Co., Ltd. (Formerly Aoi Machine Industry Co., Ltd.)",D-ACT
291,"D-ACT.Co., Ltd. - Osaka (Formerly Kawamura Metal Mfg. Co., Ltd.)",D-ACT
292,DFSK,
293,"DL Motors Co., Ltd.",
294,"DR Axion Co., Ltd.",
295,DURA Automotive Systems LLC,
296,"DYNA-MIG, A Division Of F&P Mfg., Inc.",
297,"Daao (Wuhu) Automobile Products Co., Ltd.(Formerly Tower (Wuhu) Automotive Parts Co., Ltd.)",
298,Dae Seung Autoparts India Pvt Ltd.,
299,"Daejoo Kores Co.,Ltd.",
300,"Daewon Kangup Co., Ltd.",
301,"Daido Kogyo Co., Ltd.",Daido
302,"Daido Metal Co., Ltd.",Daido
303,"Daido Steel Co., Ltd.",Daido
304,Daihatsu,Daihatsu
305,Daihatsu Kyushu,Daihatsu
306,"Daihatsu Metal Co., Ltd.",Daihatsu
307,"DaikyoNishikawa (Thailand) Co., Ltd.",
308,"Dalian Demaishi Precision Technology Co., Ltd.",
309,Dana Graziano S.R.L. (Formerly Oerlikon Graziano S.p.A.),
310,Dana Incorporated (Formerly Dana Holding Corporation),
311,Dana India Pvt. Ltd.,
312,"Dayco (Suzhou) Co., Ltd.",Dayco
313,Dayco Incorporated (Formerly Dayco Products LLC),Dayco
314,"Denso (Thailand) Co., Ltd.",Denso
315,Denso Automotive Deutschland GmbH,Denso
316,Denso Corporation,Denso
317,Denso Europe B.V.,Denso
318,Denso Group (China),Denso
319,Denso India Pvt. Ltd. (Formerly Denso India Ltd.),Denso
320,"Denso International America, Inc.",Denso
321,Denso International India Pvt. Ltd.,Denso
322,"Denso Manufacturing Athens Tennessee, Inc.",Denso
