Region,Maker,Model,Model year,Supplier
China,SAIC GM,Chevrolet Epica (China),2016,"Shanghai Lianming Machinery Co., Ltd."
China,SAIC GM,Chevrolet Sail (China),2016,"Shanghai Lianming Machinery Co., Ltd."
Europe,Alfa Romeo,Giulia (Italy),2015,"Autokiniton Global Group, LP (Formerly Tower International, Inc.)"
Europe,Audi,Q7 (Slovakia),2015,DURA Automotive Systems LLC
Europe,Audi,Q7 (Slovakia),2015,Gedia Gebrueder Dingerkus GmbH
Europe,Audi,Q7 (Slovakia),2015,Gestamp Automocion S.A.
Europe,Audi,Q7 (Slovakia),2015,KIRCHHOFF Automotive AG
China,BYD,Sirui (China),2015,"Hunan KDL Precision Industry Co., Ltd."
China,BYD,Sirui (China),2015,"Hunan KDL Precision Industry Co., Ltd."
China,BYD,Sirui (China),2015,"Hunan KDL Precision Industry Co., Ltd."
China,BYD,Sirui (China),2015,"Hunan KDL Precision Industry Co., Ltd."
Americas,Chrysler,200 (USA),2015,"Multimatic, Inc."
Americas,Daimler,Mercedes-Benz GLE Coupe (USA),2015,Gestamp North America
Americas,Daimler,Mercedes-Benz GLE Coupe (USA),2015,Gestamp North America
Americas,Daimler,Mercedes-Benz GLE Coupe (USA),2015,Gestamp North America
Americas,Daimler,Mercedes-Benz GLE Coupe (USA),2015,Gestamp North America
Americas,Daimler,Mercedes-Benz GLE Coupe (USA),2015,Gestamp North America
China,FAW-Volkswagen,Audi A4L (FF) (China),2015,"Huada Automotive Technology Co., Ltd."
China,FAW-Volkswagen,Audi A6L (FF) (China),2015,"Huada Automotive Technology Co., Ltd."
China,FAW-Volkswagen,Volkswagen Bora (FF) (China),2015,"Huada Automotive Technology Co., Ltd."
China,FAW-Volkswagen,Volkswagen CC (FF) (China),2015,"Huada Automotive Technology Co., Ltd."
China,FAW-Volkswagen,Volkswagen Golf (China),2015,"Huada Automotive Technology Co., Ltd."
China,FAW-Volkswagen,Volkswagen Magotan (China),2015,"Huada Automotive Technology Co., Ltd."
China,FAW-Volkswagen,Audi Q3 (FF) (China),2015,"Huada Automotive Technology Co., Ltd."
China,FAW-Volkswagen,Audi Q5 (China),2015,"Huada Automotive Technology Co., Ltd."
ASEAN?India?Korea,Ford,Everest (Thailand),2015,"Hiruta And Summit Co., Ltd."
Europe,Ford,Galaxy (Belgium),2015,Gedia Gebrueder Dingerkus GmbH
ASEAN?India?Korea,Ford,Ranger (Thailand),2015,"Hiruta And Summit Co., Ltd."
China,Geely,Emgrand (FF) (China),2015,"Hubei Yongzhe Hot Stamping Parts Co., Ltd."
Americas,GM,Cadillac Escalade (USA),2015,"Multimatic, Inc."
Americas,Honda,Pilot (USA),2015,Fleetwood Metal Industries Inc.
Americas,Honda,Acura TLX (USA),2015,"Shiloh Industries, Inc."
Americas,Kia,Sorento (USA),2015,Hwashin America Corp.
ASEAN?India?Korea,Mitsubishi,Attrage (Thailand),2015,"Hiruta And Summit Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Mirage (Thailand),2015,"Hiruta And Summit Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Pajero Sport (Thailand),2015,"Hiruta And Summit Co., Ltd."
Americas,Nissan,Frontier (USA),2015,Martinrea International Inc.
Europe,Opel,Astra (Poland),2015,KIRCHHOFF Automotive AG
ASEAN?India?Korea,Suzuki,Celerio (Thailand),2015,"Hiruta And Summit Co., Ltd."
ASEAN?India?Korea,Suzuki,Swift (Thailand),2015,"Hiruta And Summit Co., Ltd."
ASEAN?India?Korea,Toyota,Camry (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
ASEAN?India?Korea,Toyota,Camry Hybrid (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
ASEAN?India?Korea,Toyota,Corolla Altis (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
ASEAN?India?Korea,Toyota,Fortuner (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
ASEAN?India?Korea,Toyota,Hilux Revo (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
ASEAN?India?Korea,Toyota,Hilux Vigo (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
ASEAN?India?Korea,Toyota,Vios (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
ASEAN?India?Korea,Toyota,Yaris (Thailand),2015,"SANGO Thai Engineering & Manufacturing Co., Ltd. (STEM) (Formerly YS Pund Co., Ltd.)"
Europe,Audi,TT (Hungary),2014,Linde + Wiemann SE & Co. KG
Europe,BMW,4 Series (Germany),2014,FEMALK Zrt. - Dunavars?ny Plant
Americas,BMW,X4 (USA),2014,FEMALK Zrt. - Dunavars?ny Plant
China,Changan Mazda,Mazda 3 (China),2014,Shanghai Benteler Huizhong Automotive Company Ltd.
China,Changan Volvo,Volvo S80L (China),2014,"Shanghai Huizhong Automotive Manufacturing Co., Ltd."
China,FAW Car,Mazda 6 (China),2014,"Shanghai Huizhong Automotive Manufacturing Co., Ltd."
Americas,Ford,Mustang (USA),2014,Gestamp Automocion S.A.
China,GAC Mitsubishi,Mitsubishi ASX (FF) (China),2014,"Changsha Asteer WuuShiang Auto Parts Co., Ltd."
China,GAC Mitsubishi,Mitsubishi Pajero Sport (China),2014,"Changsha Asteer WuuShiang Auto Parts Co., Ltd."
Americas,GM,Chevrolet City Express (Mexico),2014,Gestamp Automocion S.A.
Americas,GM,Chevrolet City Express (Mexico),2014,Gestamp Automocion S.A.
Americas,GM,Chevrolet City Express (Mexico),2014,Gestamp Automocion S.A.
Japan,Honda,Accord,2014,"H-ONE Co., Ltd."
Japan,Honda,Accord,2014,"H-ONE Co., Ltd."
ASEAN?India?Korea,Honda,Accord (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Accord (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Accord (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
Japan,Honda,Accord Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Accord Hybrid,2014,"H-ONE Co., Ltd."
ASEAN?India?Korea,Honda,Amaze (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Amaze (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Amaze (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Brio (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Brio (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Brio (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Civic (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Civic (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Civic (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
Japan,Honda,CR-V,2014,"H-ONE Co., Ltd."
Japan,Honda,CR-V,2014,"H-ONE Co., Ltd."
Japan,Honda,CR-V,2014,"H-ONE Co., Ltd."
ASEAN?India?Korea,Honda,CR-V (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,CR-V (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,CR-V (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
Japan,Honda,Fit,2014,"H-ONE Co., Ltd."
Japan,Honda,Fit,2014,"H-ONE Co., Ltd."
Japan,Honda,Fit Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Fit Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Fit Shuttle,2014,"H-ONE Co., Ltd."
Japan,Honda,Fit Shuttle,2014,"H-ONE Co., Ltd."
Japan,Honda,Fit Shuttle Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Fit Shuttle Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed Spike,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed Spike,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed Spike Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Freed Spike Hybrid,2014,"H-ONE Co., Ltd."
ASEAN?India?Korea,Honda,Jazz (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Jazz (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Jazz (Thailand),2014,"H-ONE Parts (Thailand) Co., Ltd."
Japan,Honda,Odyssey,2014,"H-ONE Co., Ltd."
Japan,Honda,Odyssey,2014,"H-ONE Co., Ltd."
Japan,Honda,Odyssey,2014,"H-ONE Co., Ltd."
Japan,Honda,Step WGN,2014,"H-ONE Co., Ltd."
Americas,Honda,Acura TLX (USA),2014,"Shiloh Industries, Inc."
Americas,Honda,Acura TLX (USA),2014,"Shiloh Industries, Inc."
Japan,Honda,Vezel,2014,"H-ONE Co., Ltd."
Japan,Honda,Vezel,2014,"H-ONE Co., Ltd."
Japan,Honda,Vezel Hybrid,2014,"H-ONE Co., Ltd."
Japan,Honda,Vezel Hybrid,2014,"H-ONE Co., Ltd."
Europe,Hyundai,i20 (Turkiye),2014,"Hwashin Co., Ltd."
Europe,Kia,cee'd (Slovakia),2014,"Dongwon SK, s.r.o"
Americas,Kia,Sorento (USA),2014,"Hwashin Co., Ltd."
Europe,Kia,Sportage (Slovakia),2014,"Dongwon SK, s.r.o"
Europe,Kia,Venga (Slovakia),2014,"Dongwon SK, s.r.o"
Japan,Mazda,Atenza,2014,Y-TEC Corporation
Japan,Mazda,CX-5,2014,Y-TEC Corporation
ASEAN?India?Korea,Nissan,Datsun GO (India),2014,"Yorozu JBM Automotive Tamil Nadu Pvt., Ltd."
ASEAN?India?Korea,Nissan,Datsun GO (Indonesia),2014,PT. Yorozu Automotive Indonesia
ASEAN?India?Korea,Nissan,Datsun GO+ (India),2014,"Yorozu JBM Automotive Tamil Nadu Pvt., Ltd."
ASEAN?India?Korea,Nissan,Datsun GO+ (Indonesia),2014,PT. Yorozu Automotive Indonesia
Americas,Ram Trucks,Ram ProMaster (Mexico),2014,The Narmco Group
